1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
great topic,unsatisfactory teaching,great topic,worthy topic,deficient topic,solid fundamentals,solid fundamentals,magnificent topic,moderate,magnificent topic,enjoyable,good quality,good,enjoyable,good
good quality,well-structured,good quality,enjoyable,great topic,solid fundamentals,fantastic topic,typical,substandard,acceptable concept,great topic,good quality,good quality,acceptable concept,magnificent topic
deficient topic,unpleasant topic,ordinary topic,outstanding explaination,magnificent topic,unacceptable explaination,easy to understand,superb topic,outstanding explaination,super teaching,enjoyable,right amount to read,awesome teaching,great topic,nice teaching
typical,ok,medium,unexceptional,ok,enjoyable,right amount to read,well-structured,superb topic,great topic,superb topic,avg explaination,magnificent topic,poor,fantastic topic
magnificent topic,awesome teaching,superb topic,unpleasant topic,average,nice teaching,awesome teaching,outstanding explaination,fantastic topic,magnificent topic,worthy topic,right amount to read,enjoyable,worthy topic,intermediate
toomuch to read,awesome teaching,right amount to read,awesome teaching,good,nice teaching,good,nice teaching,enjoyable,excellent,super teaching,normal,good,easy to understand,not required
enjoyable,great topic,superb topic,easy to understand,poor,magnificent topic,great topic,awesome teaching,helpful topic,superb topic,right amount to read,typical,intermediate,superb topic,right amount to read
super teaching,magnificent topic,typical,okay,right amount to read,enjoyable,intermediate,intermediate,nice teaching,great topic,magnificent topic,substandard,helpful topic,worthy topic,suboptimal
moderate,fantastic topic,superb topic,nice teaching,super teaching,helpful topic,normal,great topic,unacceptable explaination,outstanding explaination,nice teaching,good quality,awful teaching,right amount to read,excellent
super teaching,fantastic topic,regular,awesome teaching,outstanding explaination,avg explaination,ordinary topic,easy to understand,not required,superb topic,nice teaching,satisfactory teaching,worthy topic,average,worthy topic
well-structured,great topic,easy to understand,terrible,solid fundamentals,typical,awful teaching,easy to understand,awesome teaching,great topic,easy to understand,worthy topic,not required,outstanding explaination,super teaching
okay,ok,standard,worthy topic,magnificent topic,standard,intermediate,moderate,lousy teaching,great topic,reasonable explainations,great topic,unacceptable explaination,substandard,intermediate
bad,nice teaching,ok,magnificent topic,enjoyable,fantastic topic,well-structured,easy to understand,nice teaching,awful teaching,worthy topic,good quality,easy to understand,good quality,good quality
right amount to read,terrible,ok,normal,medium,solid fundamentals,helpful topic,disorganized,great topic,usual interaction,satisfactory teaching,enjoyable,superb topic,medium,good
awesome teaching,excellent,ordinary topic,worthy topic,moderate,well-structured,dissatisfactory,outstanding explaination,good,great topic,great topic,standard,excellent,enjoyable,dissatisfactory
well-structured,fantastic topic,okay,okay,superb topic,enjoyable,deficient topic,enjoyable,awesome teaching,intermediate,super teaching,good,regular,fine,superb topic
unpleasant topic,good,excellent,superb topic,super teaching,great topic,moderate,magnificent topic,deficient topic,good,medium,average,acceptable concept,ok,ok
solid fundamentals,unacceptable explaination,regular,right amount to read,poor,fine,awesome teaching,toomuch to read,intermediate,satisfactory teaching,helpful topic,toomuch to read,unexceptional,ok,easy to understand
deficient topic,nice teaching,super teaching,well-structured,well-structured,solid fundamentals,solid fundamentals,excellent,solid fundamentals,good quality,superb topic,enjoyable,great topic,fantastic topic,fantastic topic
satisfactory teaching,ordinary topic,satisfactory teaching,right amount to read,ordinary topic,great topic,ok,good,worthy topic,toomuch to read,great topic,solid fundamentals,superb topic,enjoyable,magnificent topic
terrible,outstanding explaination,excellent,awesome teaching,regular,helpful topic,outstanding explaination,outstanding explaination,suboptimal,outstanding explaination,bad,excellent,good,usual interaction,right amount to read
easy to understand,ordinary topic,solid fundamentals,great topic,good,enjoyable,helpful topic,usual interaction,outstanding explaination,awesome teaching,superb topic,nice teaching,worthy topic,superb topic,worthy topic
enjoyable,right amount to read,poor,easy to understand,solid fundamentals,easy to understand,right amount to read,magnificent topic,average,superb topic,reasonable explainations,magnificent topic,nice teaching,solid fundamentals,good
nice teaching,good quality,well-structured,excellent,deficient topic,fantastic topic,nice teaching,outstanding explaination,avg explaination,intermediate,good,solid fundamentals,good quality,good,good quality
satisfactory teaching,solid fundamentals,magnificent topic,awesome teaching,ok,unexceptional,okay,fine,intermediate,average,disorganized,worthy topic,average,fantastic topic,typical
well-structured,superb topic,outstanding explaination,excellent,worthy topic,right amount to read,right amount to read,worthy topic,nice teaching,superb topic,nice teaching,well-structured,good,nice teaching,easy to understand
enjoyable,magnificent topic,terrible,enjoyable,good,average,normal,terrible,reasonable explainations,good quality,reasonable explainations,normal,typical,toomuch to read,solid fundamentals
worthy topic,magnificent topic,well-structured,helpful topic,worthy topic,easy to understand,dissatisfactory,outstanding explaination,solid fundamentals,outstanding explaination,right amount to read,medium,nice teaching,excellent,excellent
awesome teaching,superb topic,solid fundamentals,unsatisfactory teaching,helpful topic,typical,good quality,great topic,great topic,helpful topic,easy to understand,magnificent topic,magnificent topic,excellent,good quality
outstanding explaination,ordinary topic,worthy topic,good,enjoyable,worthy topic,super teaching,helpful topic,great topic,poor,suboptimal,right amount to read,normal,great topic,well-structured
right amount to read,nice teaching,superb topic,super teaching,good quality,enjoyable,great topic,moderate,unpleasant topic,poor,regular,intermediate,normal,okay,unexceptional
right amount to read,fantastic topic,helpful topic,excellent,awesome teaching,regular,easy to understand,suboptimal,solid fundamentals,unsatisfactory teaching,okay,intermediate,dissatisfactory,deficient topic,well-structured
worthy topic,right amount to read,acceptable concept,easy to understand,regular,typical,outstanding explaination,typical,okay,avg explaination,outstanding explaination,ok,right amount to read,helpful topic,super teaching
well-structured,great topic,great topic,nice teaching,well-structured,right amount to read,outstanding explaination,awesome teaching,right amount to read,right amount to read,well-structured,great topic,fantastic topic,great topic,excellent
nice teaching,suboptimal,okay,average,intermediate,intermediate,avg explaination,unexceptional,terrible,awesome teaching,magnificent topic,satisfactory teaching,right amount to read,deficient topic,ok
great topic,well-structured,solid fundamentals,fantastic topic,intermediate,usual interaction,unexceptional,avg explaination,avg explaination,normal,fine,standard,deficient topic,typical,moderate
bad,helpful topic,moderate,average,standard,avg explaination,unexceptional,acceptable concept,reasonable explainations,usual interaction,intermediate,nice teaching,not required,unexceptional,nice teaching
moderate,moderate,enjoyable,moderate,intermediate,super teaching,fantastic topic,normal,not required,poor,suboptimal,superb topic,great topic,outstanding explaination,acceptable concept
great topic,well-structured,outstanding explaination,toomuch to read,enjoyable,solid fundamentals,satisfactory teaching,nice teaching,okay,enjoyable,well-structured,solid fundamentals,worthy topic,solid fundamentals,super teaching
worthy topic,outstanding explaination,super teaching,worthy topic,unpleasant topic,fantastic topic,outstanding explaination,not required,awesome teaching,right amount to read,regular,magnificent topic,helpful topic,great topic,reasonable explainations
standard,easy to understand,lousy teaching,solid fundamentals,outstanding explaination,superb topic,unacceptable explaination,magnificent topic,right amount to read,dissatisfactory,easy to understand,well-structured,moderate,nice teaching,easy to understand
solid fundamentals,satisfactory teaching,usual interaction,ordinary topic,super teaching,awesome teaching,disorganized,unexceptional,outstanding explaination,satisfactory teaching,enjoyable,magnificent topic,usual interaction,avg explaination,moderate
substandard,acceptable concept,reasonable explainations,easy to understand,helpful topic,right amount to read,nice teaching,disorganized,okay,well-structured,right amount to read,excellent,usual interaction,magnificent topic,well-structured
awesome teaching,moderate,ordinary topic,toomuch to read,helpful topic,terrible,awesome teaching,normal,solid fundamentals,good quality,helpful topic,bad,enjoyable,outstanding explaination,easy to understand
good quality,enjoyable,great topic,easy to understand,magnificent topic,right amount to read,good,superb topic,right amount to read,toomuch to read,fantastic topic,right amount to read,well-structured,magnificent topic,awesome teaching
enjoyable,enjoyable,disorganized,ordinary topic,helpful topic,dissatisfactory,substandard,good quality,reasonable explainations,superb topic,magnificent topic,awesome teaching,excellent,not required,enjoyable
good quality,unacceptable explaination,excellent,good,right amount to read,worthy topic,super teaching,easy to understand,terrible,deficient topic,right amount to read,reasonable explainations,easy to understand,bad,superb topic
satisfactory teaching,substandard,toomuch to read,typical,nice teaching,right amount to read,excellent,toomuch to read,awesome teaching,great topic,worthy topic,disorganized,right amount to read,reasonable explainations,fantastic topic
awesome teaching,enjoyable,right amount to read,solid fundamentals,deficient topic,nice teaching,well-structured,awesome teaching,well-structured,nice teaching,ordinary topic,dissatisfactory,easy to understand,solid fundamentals,fantastic topic
unsatisfactory teaching,easy to understand,fantastic topic,nice teaching,regular,well-structured,nice teaching,unexceptional,magnificent topic,great topic,unexceptional,nice teaching,typical,outstanding explaination,enjoyable
magnificent topic,well-structured,fantastic topic,unexceptional,outstanding explaination,typical,good,easy to understand,excellent,right amount to read,worthy topic,awesome teaching,magnificent topic,magnificent topic,magnificent topic
moderate,superb topic,helpful topic,intermediate,substandard,ok,awesome teaching,superb topic,great topic,fantastic topic,ok,fantastic topic,nice teaching,magnificent topic,fantastic topic
standard,excellent,good,good,fine,unexceptional,normal,normal,reasonable explainations,fantastic topic,good quality,bad,excellent,bad,outstanding explaination
magnificent topic,regular,fine,nice teaching,dissatisfactory,average,awful teaching,acceptable concept,medium,enjoyable,okay,excellent,worthy topic,good,good quality
disorganized,good,right amount to read,awful teaching,terrible,fantastic topic,right amount to read,good quality,nice teaching,great topic,super teaching,medium,suboptimal,suboptimal,avg explaination
right amount to read,fantastic topic,right amount to read,worthy topic,magnificent topic,ordinary topic,regular,enjoyable,super teaching,easy to understand,regular,easy to understand,easy to understand,well-structured,right amount to read
poor,regular,magnificent topic,satisfactory teaching,good,bad,excellent,helpful topic,worthy topic,worthy topic,outstanding explaination,enjoyable,easy to understand,solid fundamentals,superb topic
superb topic,good,right amount to read,good quality,unacceptable explaination,great topic,easy to understand,worthy topic,well-structured,easy to understand,unpleasant topic,magnificent topic,awesome teaching,typical,good quality
satisfactory teaching,great topic,typical,worthy topic,great topic,ok,typical,right amount to read,great topic,ordinary topic,superb topic,regular,acceptable concept,bad,helpful topic
nice teaching,regular,fantastic topic,helpful topic,outstanding explaination,good quality,easy to understand,helpful topic,ordinary topic,great topic,suboptimal,standard,solid fundamentals,acceptable concept,avg explaination
unpleasant topic,awesome teaching,good,bad,right amount to read,fine,fantastic topic,great topic,good,worthy topic,good quality,outstanding explaination,medium,good,great topic
helpful topic,enjoyable,easy to understand,great topic,worthy topic,outstanding explaination,superb topic,magnificent topic,dissatisfactory,nice teaching,normal,easy to understand,well-structured,fantastic topic,average
outstanding explaination,magnificent topic,right amount to read,fantastic topic,good,worthy topic,right amount to read,great topic,good,great topic,awesome teaching,worthy topic,great topic,awesome teaching,good
super teaching,moderate,right amount to read,worthy topic,unsatisfactory teaching,excellent,super teaching,excellent,magnificent topic,super teaching,right amount to read,superb topic,easy to understand,disorganized,fantastic topic
well-structured,satisfactory teaching,unexceptional,nice teaching,great topic,avg explaination,unpleasant topic,fine,magnificent topic,average,helpful topic,unexceptional,nice teaching,right amount to read,great topic
good quality,nice teaching,normal,well-structured,superb topic,unexceptional,fine,outstanding explaination,unexceptional,magnificent topic,standard,toomuch to read,well-structured,fine,fine
ordinary topic,standard,average,intermediate,usual interaction,suboptimal,ordinary topic,normal,toomuch to read,avg explaination,helpful topic,excellent,intermediate,satisfactory teaching,reasonable explainations
superb topic,average,superb topic,disorganized,enjoyable,worthy topic,fine,unpleasant topic,typical,right amount to read,outstanding explaination,ok,avg explaination,ok,nice teaching
moderate,fine,disorganized,excellent,unsatisfactory teaching,acceptable concept,poor,acceptable concept,excellent,normal,excellent,disorganized,regular,nice teaching,okay
unexceptional,acceptable concept,normal,usual interaction,moderate,worthy topic,normal,great topic,fine,disorganized,good quality,super teaching,fantastic topic,suboptimal,toomuch to read
moderate,enjoyable,solid fundamentals,magnificent topic,outstanding explaination,avg explaination,fantastic topic,nice teaching,good quality,magnificent topic,magnificent topic,great topic,awesome teaching,worthy topic,helpful topic
