1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
well-structured,fine,lousy teaching,helpful topic,fantastic topic,well-structured,super teaching,enjoyable,great topic,excellent,easy to understand,helpful topic,solid fundamentals,solid fundamentals,nice teaching
,,,,,,,,,,,,,,
excellent,solid fundamentals,ordinary topic,enjoyable,good quality,easy to understand,toomuch to read,superb topic,worthy topic,suboptimal,helpful topic,super teaching,easy to understand,worthy topic,poor
,,,,,,,,,,,,,,
well-structured,deficient topic,awesome teaching,good quality,enjoyable,well-structured,poor,excellent,excellent,outstanding explaination,easy to understand,great topic,super teaching,worthy topic,well-structured
,,,,,,,,,,,,,,
awful teaching,ok,right amount to read,easy to understand,intermediate,helpful topic,toomuch to read,avg explaination,nice teaching,great topic,substandard,average,average,awesome teaching,acceptable concept
,,,,,,,,,,,,,,
fantastic topic,awesome teaching,superb topic,solid fundamentals,dissatisfactory,awesome teaching,awesome teaching,avg explaination,solid fundamentals,disorganized,not required,helpful topic,worthy topic,substandard,magnificent topic
,,,,,,,,,,,,,,
usual interaction,satisfactory teaching,easy to understand,easy to understand,easy to understand,usual interaction,fantastic topic,fine,average,normal,satisfactory teaching,awful teaching,well-structured,right amount to read,well-structured
,,,,,,,,,,,,,,
right amount to read,ordinary topic,super teaching,unexceptional,normal,ordinary topic,awful teaching,usual interaction,ok,enjoyable,awesome teaching,intermediate,fantastic topic,lousy teaching,magnificent topic
,,,,,,,,,,,,,,
regular,regular,excellent,outstanding explaination,outstanding explaination,solid fundamentals,okay,super teaching,enjoyable,right amount to read,superb topic,average,average,superb topic,well-structured
,,,,,,,,,,,,,,
bad,solid fundamentals,great topic,unsatisfactory teaching,usual interaction,outstanding explaination,fine,awesome teaching,lousy teaching,helpful topic,awesome teaching,nice teaching,dissatisfactory,right amount to read,substandard
,,,,,,,,,,,,,,
unacceptable explaination,right amount to read,super teaching,well-structured,avg explaination,medium,solid fundamentals,good,fantastic topic,super teaching,enjoyable,normal,toomuch to read,substandard,enjoyable
,,,,,,,,,,,,,,
acceptable concept,excellent,solid fundamentals,helpful topic,helpful topic,awful teaching,superb topic,nice teaching,enjoyable,easy to understand,great topic,outstanding explaination,unsatisfactory teaching,super teaching,awful teaching
,,,,,,,,,,,,,,
fantastic topic,helpful topic,bad,great topic,nice teaching,awful teaching,magnificent topic,good,outstanding explaination,easy to understand,fine,lousy teaching,good quality,deficient topic,magnificent topic
,,,,,,,,,,,,,,
fantastic topic,enjoyable,reasonable explainations,outstanding explaination,outstanding explaination,awesome teaching,well-structured,outstanding explaination,solid fundamentals,super teaching,not required,worthy topic,enjoyable,nice teaching,avg explaination
,,,,,,,,,,,,,,
good quality,right amount to read,magnificent topic,outstanding explaination,outstanding explaination,great topic,excellent,excellent,magnificent topic,super teaching,intermediate,nice teaching,super teaching,outstanding explaination,right amount to read
,,,,,,,,,,,,,,
unpleasant topic,fantastic topic,poor,average,well-structured,solid fundamentals,unsatisfactory teaching,good quality,nice teaching,right amount to read,good quality,magnificent topic,great topic,right amount to read,normal
,,,,,,,,,,,,,,
enjoyable,acceptable concept,ordinary topic,easy to understand,average,helpful topic,medium,helpful topic,satisfactory teaching,excellent,normal,ordinary topic,nice teaching,standard,intermediate
,,,,,,,,,,,,,,
great topic,ordinary topic,good,reasonable explainations,awesome teaching,superb topic,super teaching,great topic,typical,great topic,good,awesome teaching,bad,good,helpful topic
,,,,,,,,,,,,,,
great topic,magnificent topic,right amount to read,good quality,enjoyable,good quality,bad,solid fundamentals,enjoyable,enjoyable,superb topic,helpful topic,good,right amount to read,right amount to read
,,,,,,,,,,,,,,
worthy topic,unacceptable explaination,well-structured,nice teaching,outstanding explaination,excellent,intermediate,well-structured,well-structured,worthy topic,nice teaching,unacceptable explaination,good quality,awesome teaching,nice teaching
,,,,,,,,,,,,,,
acceptable concept,normal,avg explaination,great topic,right amount to read,good quality,helpful topic,good quality,awesome teaching,easy to understand,avg explaination,outstanding explaination,enjoyable,great topic,reasonable explainations
,,,,,,,,,,,,,,
reasonable explainations,good,helpful topic,outstanding explaination,super teaching,worthy topic,dissatisfactory,worthy topic,substandard,easy to understand,enjoyable,normal,fantastic topic,easy to understand,helpful topic
,,,,,,,,,,,,,,
right amount to read,enjoyable,helpful topic,suboptimal,right amount to read,ordinary topic,ordinary topic,awful teaching,superb topic,worthy topic,nice teaching,helpful topic,awesome teaching,excellent,nice teaching
,,,,,,,,,,,,,,
superb topic,helpful topic,superb topic,right amount to read,worthy topic,typical,awesome teaching,nice teaching,deficient topic,unsatisfactory teaching,regular,outstanding explaination,deficient topic,well-structured,great topic
,,,,,,,,,,,,,,
acceptable concept,substandard,right amount to read,standard,moderate,ordinary topic,terrible,ok,superb topic,medium,right amount to read,average,okay,acceptable concept,nice teaching
,,,,,,,,,,,,,,
superb topic,intermediate,average,worthy topic,unpleasant topic,unpleasant topic,reasonable explainations,superb topic,enjoyable,fantastic topic,typical,acceptable concept,unexceptional,ok,suboptimal
,,,,,,,,,,,,,,
terrible,unsatisfactory teaching,enjoyable,deficient topic,fantastic topic,right amount to read,regular,worthy topic,unsatisfactory teaching,super teaching,enjoyable,well-structured,unacceptable explaination,excellent,enjoyable
,,,,,,,,,,,,,,
good,excellent,awful teaching,good,outstanding explaination,great topic,easy to understand,normal,outstanding explaination,great topic,good,suboptimal,easy to understand,nice teaching,good quality
,,,,,,,,,,,,,,
unpleasant topic,right amount to read,helpful topic,awesome teaching,lousy teaching,awesome teaching,awful teaching,regular,easy to understand,good,toomuch to read,outstanding explaination,awesome teaching,worthy topic,intermediate
,,,,,,,,,,,,,,
ordinary topic,awesome teaching,lousy teaching,substandard,regular,intermediate,terrible,fine,outstanding explaination,ok,great topic,normal,deficient topic,typical,not required
,,,,,,,,,,,,,,
solid fundamentals,right amount to read,awesome teaching,nice teaching,magnificent topic,substandard,easy to understand,enjoyable,easy to understand,well-structured,super teaching,superb topic,disorganized,right amount to read,fine
,,,,,,,,,,,,,,
helpful topic,magnificent topic,well-structured,unpleasant topic,awful teaching,nice teaching,terrible,super teaching,well-structured,good quality,great topic,great topic,worthy topic,awesome teaching,regular
,,,,,,,,,,,,,,
magnificent topic,unsatisfactory teaching,awesome teaching,great topic,worthy topic,right amount to read,worthy topic,magnificent topic,magnificent topic,regular,magnificent topic,good quality,unpleasant topic,magnificent topic,worthy topic
,,,,,,,,,,,,,,
great topic,fine,unpleasant topic,awesome teaching,moderate,standard,easy to understand,fantastic topic,solid fundamentals,enjoyable,super teaching,fine,helpful topic,great topic,reasonable explainations
,,,,,,,,,,,,,,
medium,intermediate,unacceptable explaination,avg explaination,magnificent topic,magnificent topic,solid fundamentals,avg explaination,okay,superb topic,usual interaction,suboptimal,fantastic topic,nice teaching,worthy topic
,,,,,,,,,,,,,,
right amount to read,awesome teaching,helpful topic,solid fundamentals,outstanding explaination,magnificent topic,enjoyable,worthy topic,helpful topic,enjoyable,fantastic topic,good quality,moderate,superb topic,worthy topic
,,,,,,,,,,,,,,
good quality,super teaching,unexceptional,excellent,awesome teaching,deficient topic,medium,solid fundamentals,good,right amount to read,easy to understand,excellent,easy to understand,excellent,worthy topic
,,,,,,,,,,,,,,
helpful topic,great topic,great topic,solid fundamentals,usual interaction,magnificent topic,superb topic,easy to understand,unpleasant topic,great topic,deficient topic,well-structured,good quality,unacceptable explaination,right amount to read
,,,,,,,,,,,,,,
awesome teaching,worthy topic,good quality,unexceptional,reasonable explainations,okay,magnificent topic,great topic,satisfactory teaching,worthy topic,enjoyable,right amount to read,great topic,fantastic topic,substandard
,,,,,,,,,,,,,,
terrible,medium,substandard,superb topic,enjoyable,standard,disorganized,solid fundamentals,typical,superb topic,well-structured,normal,dissatisfactory,medium,avg explaination
,,,,,,,,,,,,,,
ok,average,worthy topic,superb topic,solid fundamentals,super teaching,usual interaction,usual interaction,medium,good quality,avg explaination,normal,fine,substandard,moderate
,,,,,,,,,,,,,,
good,easy to understand,good quality,excellent,outstanding explaination,super teaching,good quality,typical,acceptable concept,easy to understand,excellent,awesome teaching,excellent,unacceptable explaination,superb topic
,,,,,,,,,,,,,,
good,fantastic topic,deficient topic,helpful topic,right amount to read,normal,nice teaching,right amount to read,standard,nice teaching,awesome teaching,easy to understand,right amount to read,right amount to read,nice teaching
,,,,,,,,,,,,,,
typical,moderate,regular,awesome teaching,acceptable concept,poor,excellent,excellent,reasonable explainations,great topic,okay,well-structured,fine,usual interaction,helpful topic
,,,,,,,,,,,,,,
excellent,bad,enjoyable,worthy topic,superb topic,magnificent topic,not required,terrible,unsatisfactory teaching,super teaching,superb topic,awesome teaching,right amount to read,good quality,well-structured
,,,,,,,,,,,,,,
super teaching,superb topic,intermediate,right amount to read,worthy topic,great topic,awesome teaching,easy to understand,helpful topic,moderate,super teaching,intermediate,magnificent topic,right amount to read,right amount to read
,,,,,,,,,,,,,,
enjoyable,enjoyable,great topic,fine,great topic,helpful topic,outstanding explaination,outstanding explaination,solid fundamentals,super teaching,well-structured,good quality,right amount to read,toomuch to read,excellent
,,,,,,,,,,,,,,
magnificent topic,regular,helpful topic,acceptable concept,medium,well-structured,unexceptional,outstanding explaination,usual interaction,magnificent topic,magnificent topic,okay,good quality,easy to understand,excellent
,,,,,,,,,,,,,,
solid fundamentals,worthy topic,terrible,enjoyable,superb topic,bad,ordinary topic,typical,nice teaching,moderate,worthy topic,helpful topic,solid fundamentals,usual interaction,fine
,,,,,,,,,,,,,,
fantastic topic,disorganized,worthy topic,awesome teaching,right amount to read,good,solid fundamentals,avg explaination,awesome teaching,super teaching,enjoyable,nice teaching,good quality,deficient topic,helpful topic
,,,,,,,,,,,,,,
superb topic,terrible,suboptimal,ok,okay,superb topic,unacceptable explaination,suboptimal,easy to understand,solid fundamentals,acceptable concept,worthy topic,unexceptional,super teaching,well-structured
,,,,,,,,,,,,,,
great topic,deficient topic,right amount to read,superb topic,deficient topic,excellent,average,normal,magnificent topic,well-structured,nice teaching,good quality,outstanding explaination,helpful topic,magnificent topic
,,,,,,,,,,,,,,
fine,awful teaching,usual interaction,excellent,usual interaction,usual interaction,unacceptable explaination,usual interaction,awesome teaching,dissatisfactory,terrible,acceptable concept,excellent,ordinary topic,enjoyable
,,,,,,,,,,,,,,
ok,outstanding explaination,ok,reasonable explainations,well-structured,unacceptable explaination,easy to understand,disorganized,normal,right amount to read,awful teaching,not required,solid fundamentals,acceptable concept,standard
,,,,,,,,,,,,,,
typical,ordinary topic,outstanding explaination,acceptable concept,nice teaching,super teaching,helpful topic,reasonable explainations,regular,superb topic,super teaching,unexceptional,outstanding explaination,super teaching,fantastic topic
,,,,,,,,,,,,,,
magnificent topic,awesome teaching,solid fundamentals,not required,super teaching,helpful topic,right amount to read,magnificent topic,magnificent topic,helpful topic,enjoyable,ordinary topic,superb topic,super teaching,enjoyable
,,,,,,,,,,,,,,
helpful topic,super teaching,deficient topic,unexceptional,typical,avg explaination,fine,good quality,regular,superb topic,fantastic topic,standard,fantastic topic,average,avg explaination
,,,,,,,,,,,,,,
usual interaction,enjoyable,unpleasant topic,super teaching,standard,great topic,awesome teaching,worthy topic,good quality,superb topic,super teaching,well-structured,outstanding explaination,excellent,awesome teaching
,,,,,,,,,,,,,,
intermediate,well-structured,fantastic topic,awesome teaching,ordinary topic,worthy topic,enjoyable,well-structured,awesome teaching,terrible,great topic,awful teaching,excellent,outstanding explaination,super teaching
,,,,,,,,,,,,,,
great topic,awful teaching,good quality,helpful topic,worthy topic,right amount to read,typical,nice teaching,normal,normal,lousy teaching,good quality,excellent,enjoyable,well-structured
,,,,,,,,,,,,,,
nice teaching,easy to understand,magnificent topic,awesome teaching,standard,outstanding explaination,outstanding explaination,magnificent topic,helpful topic,excellent,fantastic topic,worthy topic,enjoyable,great topic,unpleasant topic
,,,,,,,,,,,,,,
easy to understand,right amount to read,magnificent topic,right amount to read,well-structured,good quality,nice teaching,worthy topic,fantastic topic,moderate,nice teaching,good,worthy topic,super teaching,excellent
,,,,,,,,,,,,,,
average,reasonable explainations,satisfactory teaching,superb topic,toomuch to read,well-structured,nice teaching,regular,magnificent topic,outstanding explaination,enjoyable,unexceptional,excellent,worthy topic,good quality
,,,,,,,,,,,,,,
good quality,easy to understand,worthy topic,fantastic topic,excellent,normal,acceptable concept,great topic,easy to understand,easy to understand,superb topic,superb topic,great topic,avg explaination,moderate
,,,,,,,,,,,,,,
magnificent topic,unpleasant topic,unpleasant topic,ok,good,terrible,avg explaination,enjoyable,good quality,avg explaination,bad,magnificent topic,normal,great topic,moderate
,,,,,,,,,,,,,,
enjoyable,right amount to read,moderate,ordinary topic,normal,great topic,good quality,solid fundamentals,unsatisfactory teaching,lousy teaching,ok,unacceptable explaination,outstanding explaination,ordinary topic,solid fundamentals
,,,,,,,,,,,,,,
great topic,enjoyable,fantastic topic,excellent,right amount to read,nice teaching,typical,easy to understand,fantastic topic,unpleasant topic,solid fundamentals,outstanding explaination,superb topic,unsatisfactory teaching,good
,,,,,,,,,,,,,,
nice teaching,good quality,super teaching,toomuch to read,well-structured,enjoyable,nice teaching,solid fundamentals,easy to understand,terrible,worthy topic,superb topic,worthy topic,bad,ordinary topic
,,,,,,,,,,,,,,
average,magnificent topic,typical,excellent,fantastic topic,okay,fantastic topic,unpleasant topic,acceptable concept,super teaching,ok,fine,awful teaching,avg explaination,awesome teaching
,,,,,,,,,,,,,,
avg explaination,outstanding explaination,typical,awful teaching,terrible,good,magnificent topic,magnificent topic,standard,regular,toomuch to read,easy to understand,suboptimal,typical,good
,,,,,,,,,,,,,,
super teaching,fine,average,satisfactory teaching,typical,awesome teaching,disorganized,helpful topic,excellent,good quality,excellent,normal,worthy topic,satisfactory teaching,helpful topic
,,,,,,,,,,,,,,
magnificent topic,super teaching,superb topic,standard,solid fundamentals,excellent,well-structured,excellent,nice teaching,helpful topic,disorganized,good,nice teaching,superb topic,normal
,,,,,,,,,,,,,,
excellent,enjoyable,reasonable explainations,good quality,good quality,easy to understand,excellent,fantastic topic,awful teaching,standard,bad,fine,helpful topic,right amount to read,enjoyable
,,,,,,,,,,,,,,
deficient topic,normal,fantastic topic,fantastic topic,fantastic topic,outstanding explaination,superb topic,bad,excellent,enjoyable,regular,fantastic topic,nice teaching,awesome teaching,excellent
,,,,,,,,,,,,,,
enjoyable,average,worthy topic,avg explaination,magnificent topic,ordinary topic,great topic,awful teaching,great topic,great topic,magnificent topic,fine,super teaching,nice teaching,outstanding explaination
,,,,,,,,,,,,,,
unsatisfactory teaching,reasonable explainations,unacceptable explaination,nice teaching,unsatisfactory teaching,moderate,good,good,right amount to read,unacceptable explaination,super teaching,magnificent topic,right amount to read,good quality,super teaching
,,,,,,,,,,,,,,
well-structured,enjoyable,easy to understand,excellent,usual interaction,worthy topic,excellent,excellent,bad,right amount to read,substandard,avg explaination,standard,solid fundamentals,excellent
,,,,,,,,,,,,,,
avg explaination,awesome teaching,good,avg explaination,usual interaction,enjoyable,suboptimal,usual interaction,terrible,ok,normal,outstanding explaination,ordinary topic,typical,nice teaching
,,,,,,,,,,,,,,
good,great topic,fantastic topic,well-structured,superb topic,superb topic,solid fundamentals,fantastic topic,magnificent topic,right amount to read,excellent,good,outstanding explaination,worthy topic,excellent
,,,,,,,,,,,,,,
substandard,right amount to read,enjoyable,enjoyable,average,good quality,not required,good,solid fundamentals,super teaching,outstanding explaination,fantastic topic,good quality,solid fundamentals,outstanding explaination
,,,,,,,,,,,,,,
outstanding explaination,excellent,easy to understand,good quality,reasonable explainations,good quality,helpful topic,lousy teaching,magnificent topic,magnificent topic,well-structured,solid fundamentals,excellent,solid fundamentals,fantastic topic
,,,,,,,,,,,,,,
poor,helpful topic,superb topic,substandard,typical,superb topic,solid fundamentals,good,good quality,super teaching,nice teaching,good quality,excellent,awesome teaching,solid fundamentals
,,,,,,,,,,,,,,
solid fundamentals,good quality,fantastic topic,excellent,good quality,fantastic topic,right amount to read,ordinary topic,solid fundamentals,usual interaction,good quality,standard,worthy topic,nice teaching,unacceptable explaination
,,,,,,,,,,,,,,
unexceptional,average,normal,ordinary topic,awesome teaching,moderate,average,magnificent topic,unexceptional,ok,reasonable explainations,good quality,outstanding explaination,intermediate,okay
,,,,,,,,,,,,,,
magnificent topic,standard,solid fundamentals,ordinary topic,super teaching,superb topic,typical,avg explaination,standard,unsatisfactory teaching,okay,outstanding explaination,satisfactory teaching,unsatisfactory teaching,enjoyable
,,,,,,,,,,,,,,
deficient topic,unacceptable explaination,fine,fantastic topic,unexceptional,terrible,reasonable explainations,unexceptional,well-structured,super teaching,helpful topic,ok,great topic,worthy topic,usual interaction
